i_pid,i_id_pers,i_id_session,dt_date_utc,r_lat,r_lon,geom_2154
17416,8,0,2019-07-08 05:24:06+02,45.1852816666667,5.71648,01010000206A080000538528D935DF2B417135CB8F50A25841
17417,8,0,2019-07-08 05:24:11+02,45.18527,5.71655666666667,01010000206A08000060A60FF941DF2B4138562C4A50A25841
17418,8,0,2019-07-08 05:24:16+02,45.1853216666667,5.71654666666667,01010000206A0800008DB9200240DF2B4135E176B751A25841
17419,8,0,2019-07-08 05:24:31+02,45.1852233333333,5.71671,01010000206A080000948282665ADF2B415CA02E194FA25841
17420,8,0,2019-07-08 05:24:36+02,45.18512,5.71682166666667,01010000206A0800004A634EB86CDF2B418F28734E4CA25841
17421,8,0,2019-07-08 05:24:41+02,45.1851433333333,5.71683166666667,01010000206A0800005AE28B1C6EDF2B41AF10EEF54CA25841
17422,8,0,2019-07-08 05:24:46+02,45.1851066666667,5.71692666666667,01010000206A0800005D44254E7DDF2B41DB10E4014CA25841
17423,8,0,2019-07-08 05:24:51+02,45.1850483333333,5.71688166666667,01010000206A080000A18BC8AF76DF2B412471BB5B4AA25841
17424,8,0,2019-07-08 05:24:56+02,45.1848183333333,5.71711166666667,01010000206A080000F8A0038D9CDF2B411E45AC2144A25841
17425,8,0,2019-07-08 05:25:16+02,45.18459,5.71727833333333,01010000206A0800002802C975B8DF2B4163EB80E83DA25841
17426,8,0,2019-07-08 05:28:16+02,45.18525,5.71708333333333,01010000206A08000052E6E5CD94DF2B41E3A22A1750A25841
17427,8,0,2019-07-08 05:28:21+02,45.1853133333333,5.71709,01010000206A0800004E3AEC5D95DF2B41BA0337DA51A25841
17428,8,0,2019-07-08 05:28:26+02,45.1853383333333,5.71716,01010000206A080000224F2D2AA0DF2B411705E99752A25841
17429,8,0,2019-07-08 05:28:31+02,45.185355,5.717175,01010000206A08000013546464A2DF2B411FD3E51053A25841
17430,8,0,2019-07-08 05:28:36+02,45.1853083333333,5.71722166666667,01010000206A08000007AB2013AADF2B41414E77CD51A25841
17431,8,0,2019-07-08 05:28:41+02,45.185265,5.71726666666667,01010000206A0800006B745D78B1DF2B4198C96CA150A25841
17432,8,0,2019-07-08 05:28:46+02,45.185255,5.71724333333333,01010000206A0800001D1335E2ADDF2B4111875A5650A25841
17433,8,0,2019-07-08 05:28:51+02,45.18524,5.71724166666667,01010000206A080000DE9492BCADDF2B4130DE82EB4FA25841
17434,8,0,2019-07-08 05:28:56+02,45.1852066666667,5.71724333333333,01010000206A080000F9C1C340AEDF2B41382803FF4EA25841
17435,8,0,2019-07-08 05:29:01+02,45.1851483333333,5.71720833333333,01010000206A08000078F94C34A9DF2B418008955A4DA25841
17436,8,0,2019-07-08 05:29:06+02,45.1851366666667,5.71717833333333,01010000206A080000E0E57A95A4DF2B4156C784024DA25841
17437,8,0,2019-07-08 05:29:11+02,45.1851233333333,5.717225,01010000206A080000EDFD0203ACDF2B41ECC3DFAB4CA25841
17438,8,0,2019-07-08 05:29:16+02,45.1851066666667,5.71724666666667,01010000206A080000F6745C8AAFDF2B417D3C3A394CA25841
17439,8,0,2019-07-08 05:29:21+02,45.1851016666667,5.717265,01010000206A0800000E19ED74B2DF2B41FF43E1184CA25841
